listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
16276,B&B Calisto6 great location in Rome,3280,2008-09-28,"Rome, Lazio, Italy",within a few hours,1,1,f,3,t,f,I Centro Storico,,Rome,41.88919,12.47107,Private room in bed and breakfast,Private room,3,1,"[""Shampoo"", ""Indoor fireplace"", ""TV"", ""Dedicated workspace"", ""Fire extinguisher"", ""Long term stays allowed"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Iron"", ""Breakfast"", ""Heating""]",37,1,730,95,9,10,10,10,10,9,f
16580,"Sunny, Modern room in East Village!",64442,2009-12-19,"New York, New York, United States",within an hour,0.9,0.96,t,2,t,t,East Village,Manhattan,New York,40.72649,-73.97904,Private room in condominium,Private room,2,1,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Free street parking"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Lockbox"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""Gym"", ""TV"", ""Dishwasher"", ""Lock on bedroom door"", ""Wifi"", ""Heating"", ""Patio or balcony"", ""Cooking basics"", ""First aid kit"", ""Stove"", ""Luggage dropoff allowed"", ""Elevator"", ""Garden or backyard"", ""Carbon monoxide alarm""]",53,2,60,96,10,10,10,10,10,10,f
16974,SpaHa Loft: Enormous and Bright,65837,2009-12-26,"New York, New York, United States",within a few hours,1,1,t,1,t,t,East Harlem,Manhattan,New York,40.80164,-73.93922,Entire loft,Entire place,8,4,"[""Refrigerator"", ""Microwave"", ""High chair"", ""Pack \u2019n Play/travel crib"", ""Air conditioning"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Hot water"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Heating"", ""Cooking basics"", ""Stove"", ""Luggage dropoff allowed"", ""Elevator""]",200,4,365,97,10,10,10,10,9,9,f
17316,BEAUTIFUL APT IN PARIS CANAL ST MAR,67192,2010-01-02,Paris and venice Beach,,,,f,1,t,t,Enclos-St-Laurent,,Paris,48.87342,2.36239,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Dryer"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",150,120,1125,,,,,,,,f
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,2010-01-08,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,1,1,t,2,t,t,Copacabana,,Rio de Janeiro,-22.96592,-43.17896,Entire condominium,Entire place,5,2,"[""Air conditioning"", ""Essentials"", ""Luggage dropoff allowed"", ""Paid parking off premises"", ""Hangers"", ""Coffee maker"", ""Dedicated workspace"", ""Private entrance"", ""Bed linens"", ""Hot water"", ""Hot tub"", ""Patio or balcony"", ""Long term stays allowed"", ""Microwave"", ""Refrigerator"", ""Building staff"", ""Wifi"", ""Iron"", ""Dishes and silverware"", ""Cooking basics"", ""Stove"", ""Hair dryer"", ""Cable TV"", ""Elevator"", ""Kitchen"", ""TV"", ""Oven""]",221,5,180,94,9,9,10,10,10,9,t
18127,Charming East Village One Bedroom Flat,69829,2010-01-11,"New York, New York, United States",,,0,f,1,t,t,East Village,Manhattan,New York,40.72828,-73.98801,Entire apartment,Entire place,2,1,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Free street parking"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Dedicated workspace"", ""Host greets you"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Cable TV"", ""Heating"", ""Cooking basics"", ""Stove"", ""Carbon monoxide alarm""]",176,30,30,97,10,10,10,10,10,10,f
18728,Beautiful Meatpacking District Loft,71876,2010-01-20,"New York, New York, United States",within a few hours,1,1,t,1,t,t,Chelsea,Manhattan,New York,40.74246,-74.00196,Private room in loft,Private room,3,1,"[""Breakfast"", ""Smoke alarm"", ""Essentials"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Dryer"", ""Fire extinguisher"", ""Cable TV"", ""Heating"", ""Wifi"", ""Microwave"", ""Elevator"", ""Hot water"", ""Air conditioning"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics""]",99,4,150,99,10,10,10,10,10,10,t
19159,Spacious luminous apt Upper West NYC,73051,2010-01-24,"New York, New York, United States",,,1,t,2,t,t,Harlem,Manhattan,New York,40.82915,-73.95136,Entire apartment,Entire place,3,2,"[""Refrigerator"", ""Microwave"", ""Air conditioning"", ""Free street parking"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""Gym"", ""TV"", ""Dishwasher"", ""Wifi"", ""Cable TV"", ""Heating"", ""Cooking basics"", ""First aid kit"", ""Stove"", ""Private entrance"", ""Elevator"", ""Carbon monoxide alarm""]",110,31,365,94,10,10,9,10,9,9,f
19398,Apartments on the Beach,73779,2010-01-26,"Cape Town, Western Cape, South Africa",,,,f,1,t,f,Ward 23,,Cape Town,-33.73046,18.43966,Entire apartment,Entire place,5,,"[""Dryer"", ""Long term stays allowed"", ""Indoor fireplace"", ""Pool"", ""Washer"", ""Free parking on premises"", ""Kitchen"", ""Wifi"", ""TV""]",5288,5,730,,,,,,,,f
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,2010-01-29,"New York, New York, United States",a few days or more,0,0,f,1,t,t,Williamsburg,Brooklyn,New York,40.71833,-73.95748,Entire apartment,Entire place,2,1,"[""Hair dryer"", ""Smoke alarm"", ""Essentials"", ""Hangers"", ""Dedicated workspace"", ""TV"", ""Wifi"", ""Shampoo"", ""Heating"", ""Private entrance"", ""Air conditioning"", ""Long term stays allowed"", ""Kitchen""]",105,30,90,90,9,7,9,9,10,9,f
20327,"Annie, Private Room 4 2",76740,2010-02-02,ZA,,,,f,1,t,f,Ward 3,,Cape Town,-33.88183,18.67086,Private room in house,Private room,2,1,"[""Dryer"", ""Long term stays allowed"", ""Indoor fireplace"", ""Pool"", ""Breakfast"", ""Cable TV"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""TV""]",1469,1,730,,,,,,,,f
20606,"Your own home in St. Peter, Rome",77932,2010-02-05,"Rome, Lazio, Italy",within a few hours,1,1,t,9,t,t,XIII Aurelia,,Rome,41.89689,12.45695,Entire apartment,Entire place,7,3,"[""Dishwasher"", ""Paid parking off premises"", ""Washer"", ""Dedicated workspace"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Iron"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Dishes and silverware"", ""Host greets you"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Kitchen"", ""Heating"", ""Crib"", ""High chair"", ""TV"", ""Patio or balcony"", ""Air conditioning"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Free street parking"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Oven"", ""Shampoo"", ""Bed linens"", ""Single level home"", ""Essentials"", ""First aid kit"", ""Carbon monoxide alarm""]",118,3,90,93,9,9,10,10,10,9,t
20717,Room in Brownstone B/Q feet away,78353,2010-02-06,"New York, New York, United States",within a day,1,0.89,t,3,t,f,Prospect Heights,Brooklyn,New York,40.67832,-73.97243,Private room in house,Private room,2,1,"[""Breakfast"", ""Smoke alarm"", ""Essentials"", ""Dryer"", ""Fire extinguisher"", ""Heating"", ""Wifi"", ""Air conditioning"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen""]",50,30,730,98,10,10,10,10,10,10,f
20823,TWO FLOORS apartment in Paris 5eme,73530,2010-01-25,"Paris, Ile-de-France, France",within an hour,1,0.96,t,3,t,t,Pantheon,,Paris,48.83839,2.35371,Entire apartment,Entire place,5,1,"[""Essentials"", ""Air conditioning"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Lockbox"", ""TV"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Private entrance"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Cable TV"", ""Carbon monoxide alarm""]",98,2,60,96,10,10,9,10,10,10,t
21167,A peaceful and very well located bedroom,80630,2010-02-12,"Paris, Ile-de-France, France",within an hour,1,1,f,1,t,t,Buttes-Montmartre,,Paris,48.89433,2.33693,Private room in apartment,Private room,2,1,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Host greets you"", ""Iron"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""First aid kit"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Shampoo"", ""Elevator""]",47,1,15,94,10,10,10,10,10,9,f
21264,"Paris holidays, with family or friends",81070,2010-02-14,"Paris, Ile-de-France, France",,,1,f,1,t,t,Popincourt,,Paris,48.8514,2.39189,Entire apartment,Entire place,5,2,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Wifi""]",80,4,14,96,10,10,10,10,10,10,f
21644,"Upper Manhattan, New York",82685,2010-02-18,"New York, New York, United States",,,,f,1,t,t,Harlem,Manhattan,New York,40.82803,-73.94731,Private room in apartment,Private room,1,1,"[""Smoke alarm"", ""Essentials"", ""TV"", ""Wifi"", ""Elevator"", ""Air conditioning"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen""]",99,30,60,100,10,10,10,9,10,9,f
22335,4  Apartments in Navona square (unit 1),85707,2010-02-26,"RÄ«ga, RÄ«gas pilsÄ“ta, Latvia",within an hour,1,1,t,4,t,t,I Centro Storico,,Rome,41.90028,12.46706,Entire apartment,Entire place,6,1,"[""Paid parking off premises"", ""Washer"", ""Dedicated workspace"", ""Microwave"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Host greets you"", ""Cooking basics"", ""Wifi"", ""Stove"", ""Hair dryer"", ""Kitchen"", ""Heating"", ""Crib"", ""TV"", ""Air conditioning"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Cable TV"", ""Oven"", ""Shampoo"", ""Single level home"", ""Essentials"", ""First aid kit"", ""Paid parking on premises""]",24,1,29,89,9,9,10,9,10,9,t
22994,Heritage Home in Cape Town suburbs,89107,2010-03-06,"Cape Town, Western Cape, South Africa",,,1,f,2,t,f,Ward 58,,Cape Town,-33.95733,18.4881,Entire house,Entire place,6,3,"[""Single level home"", ""Children\u2019s dinnerware"", ""Hot water"", ""Window guards"", ""Heating"", ""Dedicated workspace"", ""Wifi"", ""Hangers"", ""Dishwasher"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Essentials"", ""Pool"", ""High chair"", ""Bathtub"", ""Kitchen"", ""Bed linens"", ""Refrigerator"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Host greets you"", ""BBQ grill"", ""Children\u2019s books and toys"", ""Fireplace guards"", ""Free parking on premises"", ""Smoke alarm"", ""Stove"", ""Barbecue utensils"", ""Garden or backyard"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Private entrance"", ""Oven"", ""Bread maker"", ""Cooking basics"", ""Indoor fireplace"", ""Babysitter recommendations"", ""Washer"", ""Shower gel"", ""Dishes and silverware""]",1024,5,20,100,10,10,10,10,10,10,f
23545,Upper Upper West Side Townhouse 2bd/2ba,92411,2010-03-13,"New York, New York, United States",a few days or more,0,1,f,2,t,t,Harlem,Manhattan,New York,40.82748,-73.95069,Entire townhouse,Entire place,6,2,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Free parking on premises"", ""Table corner guards"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Fire extinguisher"", ""Hot water"", ""Children\u2019s books and toys"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Lockbox"", ""Hair dryer"", ""Bed linens"", ""Room-darkening shades"", ""Hot tub"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Wifi"", ""Heating"", ""BBQ grill"", ""Cooking basics"", ""Stove"", ""Indoor fireplace"", ""Luggage dropoff allowed"", ""Baby safety gates"", ""Private entrance"", ""Garden or backyard"", ""Carbon monoxide alarm""]",200,30,1125,95,10,10,10,9,9,10,f
24285,Beautiful Duplex Apartment,97797,2010-03-23,"New York, New York, United States",,,1,f,1,t,t,Park Slope,Brooklyn,New York,40.66941,-73.98109,Entire apartment,Entire place,9,4,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Dedicated workspace"", ""Host greets you"", ""Dryer"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Wifi"", ""Cable TV"", ""Heating"", ""Cooking basics"", ""Stove"", ""Luggage dropoff allowed"", ""Window guards"", ""Carbon monoxide alarm"", ""Ethernet connection""]",180,30,180,96,10,10,10,10,10,10,f
